2026-03-13 23:36:56.044 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/1 | 200 | 0.0021s
2026-03-13 23:36:56.852 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.401s
2026-03-13 23:36:56.861 | INFO     | app.middleware.logging:logging_middleware:12 - PUT /discounts/1 | 200 | 0.0057s
2026-03-13 23:36:57.713 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.401s
2026-03-13 23:36:57.719 | INFO     | app.middleware.logging:logging_middleware:12 - DELETE /discounts/1 | 200 | 0.003s
2026-03-13 23:36:57.723 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/1 | 404 | 0.0014s
2026-03-13 23:37:28.812 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4563s
2026-03-13 23:37:29.222 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4034s
2026-03-13 23:37:29.625 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.4005s
2026-03-13 23:37:30.038 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4061s
2026-03-13 23:37:30.453 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4126s
2026-03-13 23:37:30.462 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 401 | 0.0023s
2026-03-13 23:37:30.469 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.002s
2026-03-13 23:37:30.481 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/ | 200 | 0.0023s
2026-03-13 23:37:31.435 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4017s
2026-03-13 23:37:31.444 | INFO     | app.middleware.logging:logging_middleware:12 - POST /discounts/ | 200 | 0.0067s
2026-03-13 23:37:31.853 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.3995s
2026-03-13 23:37:32.256 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4s
2026-03-13 23:37:32.261 | INFO     | app.middleware.logging:logging_middleware:12 - POST /discounts/ | 403 | 0.0026s
2026-03-13 23:37:32.271 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/1 | 200 | 0.0023s
2026-03-13 23:37:33.085 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4002s
2026-03-13 23:37:33.094 | INFO     | app.middleware.logging:logging_middleware:12 - PUT /discounts/1 | 200 | 0.0051s
2026-03-13 23:37:33.901 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4001s
2026-03-13 23:37:33.907 | INFO     | app.middleware.logging:logging_middleware:12 - DELETE /discounts/1 | 200 | 0.0034s
2026-03-13 23:37:33.911 | INFO     | app.middleware.logging:logging_middleware:12 - GET /discounts/1 | 404 | 0.0015s
2026-03-13 23:37:33.920 | INFO     | app.middleware.logging:logging_middleware:12 - GET /health | 200 | 0.0019s
2026-03-13 23:37:33.926 | INFO     | app.middleware.logging:logging_middleware:12 - GET /health | 200 | 0.001s
2026-03-13 23:37:33.931 | INFO     | app.middleware.logging:logging_middleware:12 - GET /nonexistent-endpoint | 404 | 0.0006s
2026-03-13 23:37:33.938 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 422 | 0.002s
2026-03-13 23:37:33.944 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 401 | 0.0015s
2026-03-13 23:37:34.351 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.3995s
2026-03-13 23:37:34.755 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4013s
2026-03-13 23:37:53.900 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 200 | 19.141s
2026-03-13 23:37:54.364 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4484s
2026-03-13 23:37:54.766 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3992s
2026-03-13 23:38:13.893 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 200 | 19.1247s
2026-03-13 23:38:14.306 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4041s
